index,location,plot,time,date,year.month,pct.moisture,log.pct.moisture,pct.om,log.pct.om,phosphorous.mg.P.mg.soil,ammonia.mg.nh4.mg.soil,nitrate.mg.no3.mg.soil,impact,P,NH4,NO3,TN.inorg,N.P,log.N.P,net.mineralization,net.nitrification
98,Blue,2,5,6/13/2016,16-Jun,25.062,1.399015726,12.711,1.104179719,0.000128601,1.93E-05,1.13E-06,High,1.29E-01,1.93E-02,1.13E-03,2.04E-02,7.14E-02,-1.15E+00,,
99,Blue,3,5,6/13/2016,16-Jun,14.53,1.162265614,7.834,0.893983567,9.75E-05,7.63E-06,2.36E-07,High,9.75E-02,7.63E-03,2.36E-04,7.86E-03,3.64E-02,-1.44E+00,,
100,Cougar,1,5,6/13/2016,16-Jun,16.114,1.207203359,11.773,1.070887144,0.000266349,1.44E-05,2.39E-07,High,2.66E-01,1.44E-02,2.39E-04,1.46E-02,2.48E-02,-1.61E+00,,
101,Cougar,2,5,6/13/2016,16-Jun,9.779,0.990294446,14.453,1.159958003,0.000282984,1.99E-05,1.05E-06,High,2.83E-01,1.99E-02,1.05E-03,2.09E-02,3.34E-02,-1.48E+00,,
102,Cougar,3,5,6/13/2016,16-Jun,12.087,1.082318522,6.954,0.842234686,0.000236715,6.73E-06,4.06E-07,High,2.37E-01,6.73E-03,4.06E-04,7.14E-03,1.36E-02,-1.87E+00,,
103,Hovey,1,5,6/13/2016,16-Jun,8.871,0.947972579,10.024,1.001041058,0.000190399,1.07E-05,,High,1.90E-01,1.07E-02,,1.07E-02,2.54E-02,-1.60E+00,,
104,Hovey,2,5,6/13/2016,16-Jun,12.651,1.102124856,14.072,1.148355826,0.000227045,8.61E-06,4.66E-07,High,2.27E-01,8.61E-03,4.66E-04,9.07E-03,1.80E-02,-1.74E+00,,
105,Hovey,3,5,6/13/2016,16-Jun,21.834,1.339133306,10.752,1.031489256,4.72E-06,4.72E-06,1.77E-07,High,4.72E-03,4.72E-03,1.77E-04,4.90E-03,4.69E-01,-3.29E-01,,
106,Hurley,1,5,6/13/2016,16-Jun,12.796,1.107074231,8.186,0.91307174,2.22E-05,3.75E-06,8.97E-08,High,2.22E-02,3.75E-03,8.97E-05,3.84E-03,7.81E-02,-1.11E+00,,
107,Hurley,2,5,6/13/2016,16-Jun,18.362,1.263919983,6.608,0.820070034,4.78E-05,7.52E-06,3.02E-07,High,4.78E-02,7.52E-03,3.02E-04,7.82E-03,7.39E-02,-1.13E+00,,
108,Hurley,3,5,6/13/2016,16-Jun,16.523,1.218088903,7.08,0.850033258,9.49E-05,1.19E-05,9.62E-08,High,9.49E-02,1.19E-02,9.62E-05,1.20E-02,5.71E-02,-1.24E+00,,
109,Jack,1,5,6/13/2016,16-Jun,22.706,1.356140634,9.484,0.976991545,2.70E-05,1.98E-05,8.77E-07,Low,2.70E-02,1.98E-02,8.77E-04,2.06E-02,3.45E-01,-4.62E-01,,
110,Jack,2,5,6/13/2016,16-Jun,18.001,1.255296632,10.444,1.018866863,1.02E-05,6.72E-06,,Low,1.02E-02,6.72E-03,,6.72E-03,2.98E-01,-5.26E-01,,
111,Jack,3,5,6/13/2016,16-Jun,16.264,1.211227366,,,4.92E-05,3.57E-06,4.71E-08,Low,4.92E-02,3.57E-03,4.71E-05,3.62E-03,3.32E-02,-1.48E+00,,
112,Jungle,1,5,6/13/2016,16-Jun,13.164,1.119387874,11.095,1.045127307,9.45E-06,2.20E-05,8.05E-07,Low,9.45E-03,2.20E-02,8.05E-04,2.28E-02,1.09E+00,3.74E-02,,
113,Jungle,2,5,6/13/2016,16-Jun,21.331,1.329011216,36.595,1.563421751,9.23E-05,2.75E-05,1.77E-07,Low,9.23E-02,2.75E-02,1.77E-04,2.76E-02,1.35E-01,-8.70E-01,,
114,Jungle,3,5,6/13/2016,16-Jun,7.948,0.900257858,9.33,0.969881644,2.06E-05,1.20E-05,4.30E-07,Low,2.06E-02,1.20E-02,4.30E-04,1.24E-02,2.72E-01,-5.65E-01,,
115,Moonbeam,1,5,6/13/2016,16-Jun,16.983,1.23001441,7.774,0.890644536,0.000136042,3.01E-06,1.45E-08,Low,1.36E-01,3.01E-03,1.45E-05,3.02E-03,1.00E-02,-2.00E+00,,
116,Moonbeam,2,5,6/13/2016,16-Jun,16.221,1.210077624,12.926,1.111464152,3.88E-05,6.33E-06,1.27E-07,Low,3.88E-02,6.33E-03,1.27E-04,6.46E-03,7.52E-02,-1.12E+00,,
117,Moonbeam,3,5,6/13/2016,16-Jun,20.118,1.303584804,10.151,1.006508828,2.04E-05,3.46E-06,2.99E-07,Low,2.04E-02,3.46E-03,2.99E-04,3.76E-03,8.32E-02,-1.08E+00,,
118,Standup,1,5,6/13/2016,16-Jun,7.423,0.870579461,10.275,1.011781831,1.51E-05,6.75E-06,3.52E-07,Low,1.51E-02,6.75E-03,3.52E-04,7.10E-03,2.12E-01,-6.74E-01,,
119,Standup,2,5,6/13/2016,16-Jun,8.479,0.928344635,6.662,0.823604628,2.22E-06,4.38E-06,7.76E-07,Low,2.22E-03,4.38E-03,7.76E-04,5.15E-03,1.05E+00,2.12E-02,,
120,Standup,3,5,6/13/2016,16-Jun,11.854,1.073864923,10.261,1.011189688,2.76E-06,3.55E-06,7.41E-09,Low,2.76E-03,3.55E-03,7.41E-06,3.55E-03,5.81E-01,-2.36E-01,,
121,Blue,1,6,8/4/2016,16-Aug,10.237,1.010172703,15.168,1.18092832,3.58E-05,4.25E-06,,High,3.58E-02,4.25E-03,,4.25E-03,5.36E-02,-1.27E+00,,
122,Blue,2,6,8/4/2016,16-Aug,14.887,1.172807188,15.603,1.193208108,0.000138366,3.19E-06,,High,1.38E-01,3.19E-03,,3.19E-03,1.04E-02,-1.98E+00,,
123,Blue,3,6,8/4/2016,16-Aug,8.014,0.903849338,9.804,0.991403303,9.65E-05,2.44E-06,2.94E-08,High,9.65E-02,2.44E-03,2.94E-05,2.47E-03,1.16E-02,-1.94E+00,,
124,Cougar,1,6,8/4/2016,16-Aug,3.77,0.57634135,8.466,0.927678264,0.000263059,1.55E-06,,High,2.63E-01,1.55E-03,,1.55E-03,2.66E-03,-2.58E+00,,
125,Cougar,2,6,8/4/2016,16-Aug,2.421,0.383994789,10.5,1.021189299,0.000318406,2.27E-06,,High,3.18E-01,2.27E-03,,2.27E-03,3.22E-03,-2.49E+00,,
126,Cougar,3,6,8/4/2016,16-Aug,2.752,0.43964843,4.876,0.688063697,0.000172233,1.67E-06,,High,1.72E-01,1.67E-03,,1.67E-03,4.38E-03,-2.36E+00,,
127,Hovey,1,6,8/4/2016,16-Aug,6.248,0.795741021,12.236,1.087639468,0.000146323,3.01E-05,,High,1.46E-01,3.01E-02,,3.01E-02,9.31E-02,-1.03E+00,,
128,Hovey,2,6,8/4/2016,16-Aug,4.743,0.676053125,11.674,1.067219689,0.000204093,5.35E-06,2.39E-09,High,2.04E-01,5.35E-03,2.39E-06,5.35E-03,1.18E-02,-1.93E+00,,
129,Hovey,3,6,8/4/2016,16-Aug,9.499,0.977677888,6.404,0.806451323,4.41E-06,1.75E-06,,High,4.41E-03,1.75E-03,,1.75E-03,1.79E-01,-7.47E-01,,
130,Hurley,1,6,8/4/2016,16-Aug,6.126,0.787176992,8.369,0.922673568,0.000102894,6.48E-06,,High,1.03E-01,6.48E-03,,6.48E-03,2.84E-02,-1.55E+00,,
131,Hurley,2,6,8/4/2016,16-Aug,8.371,0.922777342,10.844,1.035189509,6.65E-05,3.72E-06,,High,6.65E-02,3.72E-03,,3.72E-03,2.53E-02,-1.60E+00,,
132,Hurley,3,6,8/4/2016,16-Aug,4.739,0.675686709,6.655,0.82314806,2.40E-05,1.79E-06,,High,2.40E-02,1.79E-03,,1.79E-03,3.37E-02,-1.47E+00,,
133,Jack,1,6,8/4/2016,16-Aug,15.46,1.18920949,8.951,0.951871557,1.04E-05,1.47E-06,1.18E-08,Low,1.04E-02,1.47E-03,1.18E-05,1.48E-03,6.43E-02,-1.19E+00,,
134,Jack,2,6,8/4/2016,16-Aug,5.792,0.762828553,7.839,0.894260664,3.08E-05,1.47E-06,4.75E-08,Low,3.08E-02,1.47E-03,4.75E-05,1.52E-03,2.23E-02,-1.65E+00,,
135,Jack,3,6,8/4/2016,16-Aug,9.693,0.986458213,14.233,1.153296449,5.53E-05,1.64E-06,,Low,5.53E-02,1.64E-03,,1.64E-03,1.34E-02,-1.87E+00,,
136,Jungle,1,6,8/4/2016,16-Aug,10.384,1.016364679,10.257,1.011020356,1.38E-05,3.96E-06,1.59E-07,Low,1.38E-02,3.96E-03,1.59E-04,4.12E-03,1.35E-01,-8.70E-01,,
137,Jungle,2,6,8/4/2016,16-Aug,13.095,1.117105503,33.333,1.522874402,6.81E-05,1.56E-05,4.64E-07,Low,6.81E-02,1.56E-02,4.64E-04,1.60E-02,1.06E-01,-9.75E-01,,
138,Jungle,3,6,8/4/2016,16-Aug,10.126,1.005437923,12.783,1.106632789,3.79E-05,3.79E-06,6.99E-07,Low,3.79E-02,3.79E-03,6.99E-04,4.49E-03,5.35E-02,-1.27E+00,,
139,Moonbeam,1,6,8/4/2016,16-Aug,12.003,1.079289806,9.107,0.959375337,3.89E-05,2.13E-06,4.59E-08,Low,3.89E-02,2.13E-03,4.59E-05,2.18E-03,2.53E-02,-1.60E+00,,
140,Moonbeam,2,6,8/4/2016,16-Aug,15.039,1.177218959,10.505,1.021396057,1.17E-05,1.38E-06,,Low,1.17E-02,1.38E-03,,1.38E-03,5.33E-02,-1.27E+00,,
141,Moonbeam,3,6,8/4/2016,16-Aug,8.76,0.942504106,8.892,0.948999454,3.82E-05,1.66E-06,,Low,3.82E-02,1.66E-03,,1.66E-03,1.96E-02,-1.71E+00,,
142,Standup,1,6,8/4/2016,16-Aug,4.462,0.649529566,9.179,0.96279537,6.30E-06,1.44E-06,1.87E-08,Low,6.30E-03,1.44E-03,1.87E-05,1.46E-03,1.05E-01,-9.79E-01,,
143,Standup,2,6,8/4/2016,16-Aug,4.58,0.660865478,9.255,0.966376423,2.86E-06,1.67E-06,,Low,2.86E-03,1.67E-03,,1.67E-03,2.64E-01,-5.78E-01,,
144,Standup,3,6,8/4/2016,16-Aug,5.349,0.728272598,9.469,0.976304117,3.97E-06,1.66E-06,,Low,3.97E-03,1.66E-03,,1.66E-03,1.89E-01,-7.24E-01,,
145,Blue,1,7,9/19/2016,16-Sep,12.129,1.083824996,18.324,1.263020283,6.32E-05,1.55E-05,7.32E-07,High,6.32E-02,1.55E-02,7.32E-04,1.62E-02,1.16E-01,-9.36E-01,,
146,Blue,2,7,9/19/2016,16-Sep,18.685,1.271493102,14.087,1.148818515,0.000120881,2.46E-05,1.61E-05,High,1.21E-01,2.46E-02,1.61E-02,4.07E-02,1.52E-01,-8.18E-01,,
147,Blue,3,7,9/19/2016,16-Sep,9.49,0.977266212,7.982,0.902111723,0.000126042,6.67E-06,4.26E-07,High,1.26E-01,6.67E-03,4.26E-04,7.10E-03,2.54E-02,-1.60E+00,,
148,Cougar,1,7,9/19/2016,16-Sep,5.373,0.730216841,6.586,0.818621726,0.000252098,1.04E-05,4.69E-07,High,2.52E-01,1.04E-02,4.69E-04,1.09E-02,1.95E-02,-1.71E+00,,
149,Cougar,2,7,9/19/2016,16-Sep,4.691,0.671265433,9.705,0.98699554,0.000279001,1.48E-05,3.25E-08,High,2.79E-01,1.48E-02,3.25E-05,1.49E-02,2.41E-02,-1.62E+00,,
150,Cougar,3,7,9/19/2016,16-Sep,4.893,0.689575216,9.729,0.988068203,0.000199636,7.60E-06,1.84E-07,High,2.00E-01,7.60E-03,1.84E-04,7.78E-03,1.76E-02,-1.75E+00,,
151,Hovey,1,7,9/19/2016,16-Sep,6.543,0.81577692,8.244,0.916137983,0.000142532,1.06E-05,2.48E-07,High,1.43E-01,1.06E-02,2.48E-04,1.09E-02,3.44E-02,-1.46E+00,,
152,Hovey,2,7,9/19/2016,16-Sep,8.063,0.90649666,14.83,1.171141151,0.000178895,9.39E-06,2.65E-07,High,1.79E-01,9.39E-03,2.65E-04,9.66E-03,2.44E-02,-1.61E+00,,
153,Hovey,3,7,9/19/2016,16-Sep,8.261,0.917032622,6.913,0.839666557,4.22E-06,6.72E-06,3.23E-07,High,4.22E-03,6.72E-03,3.23E-04,7.04E-03,7.53E-01,-1.23E-01,,
154,Hurley,1,7,9/19/2016,16-Sep,7.321,0.864570407,7.434,0.871222557,8.56E-05,1.02E-05,6.56E-08,High,8.56E-02,1.02E-02,6.56E-05,1.02E-02,5.38E-02,-1.27E+00,,
155,Hurley,2,7,9/19/2016,16-Sep,7.06,0.848804701,5.748,0.759516759,5.06E-05,1.00E-05,3.44E-07,High,5.06E-02,1.00E-02,3.44E-04,1.04E-02,9.28E-02,-1.03E+00,,
156,Hurley,3,7,9/19/2016,16-Sep,4.749,0.67660217,5.735,0.758533422,2.27E-05,3.92E-06,4.95E-07,High,2.27E-02,3.92E-03,4.95E-04,4.41E-03,8.77E-02,-1.06E+00,,
157,Jack,1,7,9/20/2016,16-Sep,13.465,1.129206358,,,4.19E-05,6.17E-06,2.48E-07,Low,4.19E-02,6.17E-03,2.48E-04,6.42E-03,6.92E-02,-1.16E+00,,
158,Jack,2,7,9/20/2016,16-Sep,10.145,1.006252051,9.038,0.956072337,6.73E-06,6.10E-06,4.62E-07,Low,6.73E-03,6.10E-03,4.62E-04,6.56E-03,4.40E-01,-3.57E-01,,
159,Jack,3,7,9/20/2016,16-Sep,8.439,0.926290987,9.789,0.990738329,6.34E-06,8.53E-06,1.23E-07,Low,6.34E-03,8.53E-03,1.23E-04,8.65E-03,6.16E-01,-2.10E-01,,
160,Jungle,1,7,9/20/2016,16-Sep,18.552,1.268390736,16.355,1.213650548,2.10E-05,1.32E-05,3.02E-06,Low,2.10E-02,1.32E-02,3.02E-03,1.62E-02,3.48E-01,-4.58E-01,,
161,Jungle,2,7,9/20/2016,16-Sep,11.16,1.047664195,34.838,1.542053215,8.40E-05,3.49E-05,3.85E-07,Low,8.40E-02,3.49E-02,3.85E-04,3.53E-02,1.90E-01,-7.21E-01,,
162,Jungle,3,7,9/20/2016,16-Sep,10.204,1.00877045,11.018,1.042102768,2.63E-05,1.34E-05,1.53E-06,Low,2.63E-02,1.34E-02,1.53E-03,1.49E-02,2.56E-01,-5.92E-01,,
163,Moonbeam,1,7,9/20/2016,16-Sep,7.328,0.864985461,7.882,0.896636431,0.000274161,7.60E-06,,Low,2.74E-01,7.60E-03,,7.60E-03,1.25E-02,-1.90E+00,,
164,Moonbeam,2,7,9/20/2016,16-Sep,6.853,0.835880732,10.749,1.031368063,5.89E-05,6.99E-06,8.76E-08,Low,5.89E-02,6.99E-03,8.76E-05,7.08E-03,5.43E-02,-1.27E+00,,
165,Moonbeam,3,7,9/20/2016,16-Sep,8.731,0.941063988,9.181,0.962889987,4.33E-05,6.31E-06,3.40E-07,Low,4.33E-02,6.31E-03,3.40E-04,6.65E-03,6.94E-02,-1.16E+00,,
166,Standup,1,7,9/20/2016,16-Sep,6.571,0.817631467,8.476,0.928190948,1.03E-05,5.00E-06,1.03E-06,Low,1.03E-02,5.00E-03,1.03E-03,6.03E-03,2.64E-01,-5.78E-01,,
167,Standup,2,7,9/20/2016,16-Sep,7.009,0.84565606,6.68,0.824776462,2.63E-06,4.02E-06,6.67E-07,Low,2.63E-03,4.02E-03,6.67E-04,4.68E-03,8.04E-01,-9.47E-02,,
168,Standup,3,7,9/20/2016,16-Sep,9.417,0.97391257,8.313,0.919757781,5.05E-06,6.93E-06,1.46E-06,Low,5.05E-03,6.93E-03,1.46E-03,8.39E-03,7.50E-01,-1.25E-01,,
169,Blue,1,8,11/5/2016,16-Nov,19.159,1.282372837,11.994,1.078964045,0.000123674,2.02E-05,1.80E-05,High,1.24E-01,2.02E-02,1.80E-02,3.82E-02,1.39E-01,-8.57E-01,1.24E-07,8.97E-05
170,Blue,2,8,11/5/2016,16-Nov,29.556,1.470645658,11.352,1.055072382,9.30E-05,1.70E-05,6.02E-05,High,9.30E-02,1.70E-02,6.02E-02,7.72E-02,3.75E-01,-4.26E-01,1.05E-07,0.000306424
171,Blue,3,8,11/5/2016,16-Nov,25.872,1.412830003,7.742,0.888853167,0.000221648,8.75E-06,4.89E-05,High,2.22E-01,8.75E-03,4.89E-02,5.77E-02,1.17E-01,-9.32E-01,1.35E-07,0.000248767
172,Cougar,1,8,11/5/2016,16-Nov,27.174,1.434153571,12.905,1.110758009,0.000284462,2.26E-05,3.48E-05,High,2.84E-01,2.26E-02,3.48E-02,5.74E-02,9.13E-02,-1.04E+00,2.99E-07,0.000175677
173,Cougar,2,8,11/5/2016,16-Nov,22.079,1.343979399,9.681,0.98592022,0.000135756,2.03E-05,1.09E-05,High,1.36E-01,2.03E-02,1.09E-02,3.12E-02,1.04E-01,-9.83E-01,9.98E-08,5.38E-05
174,Cougar,3,8,11/5/2016,16-Nov,13.251,1.122248654,5.506,0.740836207,0.00021412,1.07E-05,3.26E-05,High,2.14E-01,1.07E-02,3.26E-02,4.33E-02,9.14E-02,-1.04E+00,1.76E-07,0.000165103
175,Hovey,1,8,11/5/2016,16-Nov,22.706,1.356140634,10.614,1.025879083,0.000131752,3.21E-05,5.25E-07,High,1.32E-01,3.21E-02,5.25E-04,3.26E-02,1.12E-01,-9.51E-01,1.64E-07,-4.27E-07
176,Hovey,2,8,11/5/2016,16-Nov,31.198,1.494126754,15.808,1.198876927,0.000207517,4.52E-05,1.53E-05,High,2.08E-01,4.52E-02,1.53E-02,6.05E-02,1.31E-01,-8.83E-01,2.48E-07,7.76E-05
177,Hovey,3,8,11/5/2016,16-Nov,18.824,1.274711914,6.836,0.834802054,2.89E-05,1.04E-05,2.52E-05,High,2.89E-02,1.04E-02,2.52E-02,3.56E-02,5.56E-01,-2.55E-01,8.23E-08,0.000127845
178,Hurley,1,8,11/5/2016,16-Nov,23.84,1.377306251,8.493,0.929061124,0.000110774,2.33E-05,6.49E-06,High,1.11E-01,2.33E-02,6.49E-03,2.98E-02,1.21E-01,-9.17E-01,1.52E-07,3.21E-05
179,Hurley,2,8,11/5/2016,16-Nov,19.53,1.290702243,6.243,0.795393335,6.00E-05,1.34E-05,7.21E-07,High,6.00E-02,1.34E-02,7.21E-04,1.42E-02,1.07E-01,-9.71E-01,1.07E-07,3.67E-06
180,Hurley,3,8,11/5/2016,16-Nov,13.908,1.143264682,4.96,0.695481676,2.17E-05,5.50E-06,1.54E-05,High,2.17E-02,5.50E-03,1.54E-02,2.09E-02,4.35E-01,-3.62E-01,8.54E-08,7.85E-05
181,Jack,1,8,11/6/2016,16-Nov,28.123,1.449061647,10.121,1.005223425,7.45E-05,1.64E-05,3.66E-05,Low,7.45E-02,1.64E-02,3.66E-02,5.30E-02,3.21E-01,-4.93E-01,3.70E-08,0.000180565
182,Jack,2,8,11/6/2016,16-Nov,23.424,1.369661059,7.982,0.902111723,4.46E-05,1.31E-05,5.85E-07,Low,4.46E-02,1.31E-02,5.85E-04,1.37E-02,1.39E-01,-8.57E-01,8.52E-08,-6.72E-07
183,Jack,3,8,11/6/2016,16-Nov,25.66,1.409256652,10.776,1.032457583,7.16E-05,1.78E-05,1.29E-07,Low,7.16E-02,1.78E-02,1.29E-04,1.80E-02,1.14E-01,-9.43E-01,8.61E-08,-2.50E-06
184,Jungle,1,8,11/6/2016,16-Nov,17.542,1.244079107,7.35,0.866287339,2.76E-06,1.03E-05,1.22E-05,Low,2.76E-03,1.03E-02,1.22E-02,2.25E-02,3.68E+00,5.66E-01,2.61E-07,5.57E-05
185,Jungle,2,8,11/6/2016,16-Nov,31.766,1.501962532,20.551,1.312832959,5.36E-05,4.26E-05,4.08E-05,Low,5.36E-02,4.26E-02,4.08E-02,8.34E-02,7.03E-01,-1.53E-01,2.67E-07,0.00020502
186,Jungle,3,8,11/6/2016,16-Nov,18.234,1.26088195,8.54,0.931457871,2.63E-05,1.50E-05,1.08E-05,Low,2.63E-02,1.50E-02,1.08E-02,2.58E-02,4.43E-01,-3.54E-01,8.98E-08,5.29E-05
187,Moonbeam,1,8,11/6/2016,16-Nov,23.833,1.377178713,6.103,0.78554337,8.84E-05,9.90E-06,8.92E-08,Low,8.84E-02,9.90E-03,8.92E-05,9.99E-03,5.10E-02,-1.29E+00,1.79E-07,1.56E-07
188,Moonbeam,2,8,11/6/2016,16-Nov,24.762,1.393785719,9.043,0.956312531,6.53E-05,1.63E-05,2.43E-07,Low,6.53E-02,1.63E-02,2.43E-04,1.65E-02,1.14E-01,-9.43E-01,1.30E-07,
189,Moonbeam,3,8,11/6/2016,16-Nov,29.995,1.477048866,9.831,0.992597696,4.39E-05,1.40E-05,3.55E-07,Low,4.39E-02,1.40E-02,3.55E-04,1.44E-02,1.48E-01,-8.30E-01,1.43E-07,1.46E-06
190,Standup,1,8,11/6/2016,16-Nov,21.934,1.341117839,9.598,0.982180746,1.06E-05,4.21E-06,4.29E-05,Low,1.06E-02,4.21E-03,4.29E-02,4.71E-02,2.01E+00,3.03E-01,5.87E-08,0.000235024
191,Standup,2,8,11/6/2016,16-Nov,19.742,1.295391148,6.143,0.788380515,2.83E-06,4.20E-06,1.94E-06,Low,2.83E-03,4.20E-03,1.94E-03,6.14E-03,9.80E-01,-8.77E-03,5.14E-08,8.63E-06
192,Standup,3,8,11/6/2016,16-Nov,23.028,1.362256221,9.318,0.969322706,7.60E-06,7.55E-06,2.57E-05,Low,7.60E-03,7.55E-03,2.57E-02,3.33E-02,1.98E+00,2.97E-01,6.87E-08,0.000140364
